trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
60,False,"{'a': 0.01, 'e': 0.8253356149096783}",25,0,-157.61371335305222,"{0: 12, 1: 4, 2: 7, 3: 0, 4: 2}",0
61,False,"{'a': 0.01, 'e': 0.8196480178454795}",20,0,-142.51272106680543,"{0: 11, 1: 4, 2: 1, 3: 2, 4: 2}",0
62,False,"{'a': 0.01, 'e': 0.8138784566625339}",30,0,-103.31325005799772,"{0: 20, 1: 2, 2: 6, 3: 1, 4: 1}",0
63,False,"{'a': 0.01, 'e': 0.8080275083121519}",25,0,-67.13378671717169,"{0: 16, 1: 1, 2: 8, 3: 0, 4: 0}",0
64,False,"{'a': 0.01, 'e': 0.8020957578842927}",20,0,-50.593705048894336,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",0
65,False,"{'a': 0.01, 'e': 0.7960837985490559}",20,0,-87.58090584176645,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
66,False,"{'a': 0.01, 'e': 0.7899922314973651}",20,0,-74.98087888346691,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
67,False,"{'a': 0.01, 'e': 0.7838216658808492}",30,0,-200.60135306047698,"{0: 19, 1: 1, 2: 6, 3: 0, 4: 4}",0
68,False,"{'a': 0.01, 'e': 0.7775727187509279}",20,0,-163.61769436485977,"{0: 11, 1: 1, 2: 4, 3: 1, 4: 3}",0
69,False,"{'a': 0.01, 'e': 0.7712460149971065}",20,0,-93.86576272486413,"{0: 13, 1: 2, 2: 2, 3: 2, 4: 1}",0
70,False,"{'a': 0.01, 'e': 0.7648421872844884}",35,0,-205.791862192108,"{0: 22, 1: 3, 2: 4, 3: 3, 4: 3}",0
71,False,"{'a': 0.01, 'e': 0.7583618759905082}",30,0,-121.26541079628217,"{0: 20, 1: 3, 2: 4, 3: 2, 4: 1}",0
72,False,"{'a': 0.01, 'e': 0.751805729140895}",20,0,-54.760030869689494,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
73,False,"{'a': 0.01, 'e': 0.7451744023448704}",25,0,-46.19144672475961,"{0: 17, 1: 2, 2: 6, 3: 0, 4: 0}",0
74,False,"{'a': 0.01, 'e': 0.7384685587295879}",25,0,-87.39954912284291,"{0: 19, 1: 1, 2: 3, 3: 0, 4: 2}",0
75,False,"{'a': 0.01, 'e': 0.7316888688738209}",20,0,-127.31225690954037,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
76,False,"{'a': 0.01, 'e': 0.7248360107409052}",20,0,-47.10660018853608,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
77,False,"{'a': 0.01, 'e': 0.7179106696109434}",20,0,-15.784662771259532,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
78,False,"{'a': 0.01, 'e': 0.7109135380122773}",30,0,-157.49902916630262,"{0: 19, 1: 3, 2: 5, 3: 0, 4: 3}",0
79,False,"{'a': 0.01, 'e': 0.7038453156522362}",20,12,-38.611277575781294,"{0: 5, 1: 1, 2: 0, 3: 2, 4: 0}",1
80,False,"{'a': 0.01, 'e': 0.6967067093471655}",25,0,-56.9845056388366,"{0: 20, 1: 1, 2: 2, 3: 1, 4: 1}",0
81,False,"{'a': 0.01, 'e': 0.6894984329517471}",30,4,-57.24655210814242,"{0: 21, 1: 2, 2: 1, 3: 1, 4: 1}",1
82,False,"{'a': 0.01, 'e': 0.6822212072876136}",35,14,-137.63600424940938,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 2}",1
83,False,"{'a': 0.01, 'e': 0.6748757600712672}",25,0,-75.93739284593762,"{0: 18, 1: 1, 2: 5, 3: 0, 4: 1}",0
84,False,"{'a': 0.01, 'e': 0.6674628258413082}",20,0,-63.640522708134974,"{0: 14, 1: 4, 2: 0, 3: 1, 4: 1}",0
85,False,"{'a': 0.01, 'e': 0.6599831458849822}",20,0,-60.61339321188697,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
86,False,"{'a': 0.01, 'e': 0.6524374681640519}",20,4,8.70568067777545,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
87,False,"{'a': 0.01, 'e': 0.6448265472400012}",20,0,-39.662366413698926,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
88,False,"{'a': 0.01, 'e': 0.6371511441985802}",25,0,-132.01581841212533,"{0: 17, 1: 2, 2: 3, 3: 0, 4: 3}",0
89,False,"{'a': 0.01, 'e': 0.6294120265736969}",25,17,5.556016319381515,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
90,False,"{'a': 0.01, 'e': 0.6216099682706645}",25,11,16.071170084076638,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
